speaker,start_time,end_time,emotion,scores,text
MATT,00:00:00,00:00:24,surprised,"{'angry': 0.0005876442301087081, 'disgust': 0.00014662287139799446, 'fearful': 0.001758164376951754, 'happy': 0.007648502942174673, 'neutral': 0.0007004514918662608, 'sad': 0.00040041838656179607, 'surprised': 0.9887582063674927}","Hello everyone. My name is Matthew Mercer, voice actor and Dungeon Master for Critical Role on Geek & Sundry, where I take a bunch of other voice actors and run them through a fantastical fantasy adventure through the world of Dungeons & Dragons. We play every Thursday at 7:00pm Pacific Standard Time on Geek & Sundry's Twitch stream. Please come watch us live if you have the opportunity. Back episodes and future episodes will be uploaded on the Geek & Sundry website. You can also check them out there. In the meantime, enjoy!"
MATT,00:00:24,00:01:09,happy,"{'angry': 0.009980309754610062, 'disgust': 0.0012071678647771478, 'fearful': 0.09650503098964691, 'happy': 0.8815076351165771, 'neutral': 0.0023717591539025307, 'sad': 0.002556395949795842, 'surprised': 0.005871668923646212}","Welcome to first episode of Critical Role, and what this basically is is a continuation of our weekly D&D game. Me and a bunch of other likely nerdy and enjoyable voice actors gathering around, rolling some dice, killing some creatures, having some adventure. Now we have the pleasure of bringing it on the stream for you to watch, enjoy, and occasionally interact with. Before we get to that, to give you a little backstory on the characters you'll be seeing this evening, we're going to play some videos for you in a second. Do note for all you hardcore gamers out there, a lot of this is house-ruled, loosey-goosey having a good time. So all you number crunchers, stop paying attention there, just have fun with it. Nevertheless, we have some background story on many of the characters you'll be seeing this evening to help you jump into the story. Let's go ahead and enjoy those in a minute, then we'll introduce the players. So have fun!"
TRAVIS,00:01:09,00:01:30,angry,"{'angry': 0.7911114692687988, 'disgust': 0.0008564732852391899, 'fearful': 0.0011499152751639485, 'happy': 0.2052655816078186, 'neutral': 0.0005144774913787842, 'sad': 0.00023883637913968414, 'surprised': 0.0008632972021587193}","Right, listen up! If you have ale, then you have a friend in Grog Strongjaw! A goliath of towering height and size, this barbarian has an appetite for the two great loves in his life: combat, women, and ale! [record scratch]"
TRAVIS,00:01:30,00:02:57,angry,"{'angry': 0.8827852606773376, 'disgust': 0.0008351441356353462, 'fearful': 0.008112532086670399, 'happy': 0.10556735843420029, 'neutral': 0.0005429258453659713, 'sad': 0.0003380068519618362, 'surprised': 0.0018186664674431086}","Wait. Easily the brains of the group, Grog is often consulted for his vast knowledge of shapes, colors, and shiny things! Also ale. In his early years, armed with his two-handed greataxe, Grog often enjoyed proving his might amongst the ranks of his family's wandering herd. But after coming upon an unsuspecting elderly gnome in the woods, he objected to the killing of such an innocent life. A creature of impulse, Grog felt only pity for this-- well, this terrified little thing. And his disobedience cost him dearly. Beaten bloody, and banished by the herd leader, his Uncle Kevdak, Grog was abandoned and left to die. Exiled from his herd, it was then that the relative of the very gnome he fought to save, saved him. It was the kindness of a gnome cleric named Pike that healed Grog, bringing him back from death's edge. And they have remained close friends ever since. Most nights, Grog can be found challenging entire taverns to wrestling matches! Or accompanying Scanlan to the nearest house where you pay for lady favors. Also ale!"
MARISHA,00:02:57,00:03:14,surprised,"{'angry': 0.00025829780497588217, 'disgust': 0.00011198153515579179, 'fearful': 0.0011124687734991312, 'happy': 0.006305630784481764, 'neutral': 0.00038046168629080057, 'sad': 0.00040763025754131377, 'surprised': 0.9914234280586243}","A first impression of Keyleth would leave you with little information on the half-elven druid. You might even think that her social awkwardness due to her sheltered upbringing is kind of sweet. Of course, it would be unwise underestimate her based on first impressions. [thunder crack]"
MARISHA,00:03:14,00:05:01,happy,"{'angry': 0.004707923159003258, 'disgust': 0.0015958786243572831, 'fearful': 0.12221495062112808, 'happy': 0.7499307990074158, 'neutral': 0.0034000228624790907, 'sad': 0.006269922945648432, 'surprised': 0.11188045144081116}","Under that un-intimidating petite frame is a vicious beast waiting to be unleashed, whose natural powers have made even the fiercest of champions pee their pants, literally! Born to the Air Tribe of the Ashari people, Keyleth was raised with a deep love of nature and the elemental magics. It is her people's inherent duty to protect the delicate areas in Tal'Dorei where the four elemental planes begin to bleed with this realm. Since she was a little girl, she had quite a knack for air manipulation and beast shaping abilities. Well, if you consider kittens and flying squirrels to be little beasts. Which, I do. Anyways, it wasn't long before the headmaster of the tribe, her father, Korren, realized her true prodigious abilities and she was inveterated to succeed him as the next headmaster. Just like that, her jovial childhood was stripped and replaced with endless spell memorization, teachings from ancient traditions, and exceedingly high expectations. Every druid leader-to-be must embark on a journey to seek out the sister tribes in order to introduce and establish respect amongst the fellow headmasters. They call this the Aramente, or Noble Odyssey. When her father felt she was ready, he set her on the path to truly discovering herself, not knowing when, or if, she will ever return. As she hiked down the mountain towards Stilben, she meditated on the task ahead. Part of the Aramente is proving yourself a strong warrior, a valiant protector, and a wise and compassionate leader. With this knowledge, one thought plays in repeat in her mind: Is she even worthy?"
TALIESIN,00:05:01,00:06:15,happy,"{'angry': 0.03134865313768387, 'disgust': 0.0011283417697995901, 'fearful': 0.031122293323278427, 'happy': 0.92457115650177, 'neutral': 0.004181768279522657, 'sad': 0.0052434843964874744, 'surprised': 0.002404374536126852}","Percy was the third child of seven children, born to a noble family who lived far to the north in the ancient castle of Whitestone. With so many siblings to share the burdens of lordship, Percy turned his attention to the sciences, engineering, and naturalism. One day, a mysterious couple, named Lord and Lady Briarwood, came to court. During a feast held in their honor, the Briarwoods violently took control of the castle, killing or imprisoning everyone who would stand in their way. Percy awoke chained in the dungeon, only to be freed by his younger sister. Together they fled, chased by the Briarwoods' men. As they ran, Percy's sister took several arrows to the chest and fell. Percy kept running, eventually jumping into a freezing river and floating unconscious to freedom. He did not remember waking up on a fishing boat. He barely remembered the next two years, as he slowly made his way as far south as possible. Then one night, Percy had a dream. A roaring cloud of smoke offered him vengeance against those who destroyed his family. When he awoke, Percy began to design his first gun."
SAM,00:06:15,00:07:37,happy,"{'angry': 0.0017553592333570123, 'disgust': 0.0002484698488842696, 'fearful': 0.0034081300254911184, 'happy': 0.9929723739624023, 'neutral': 0.00036447233287617564, 'sad': 0.0004578593070618808, 'surprised': 0.0007933554006740451}","Oh, you haven't heard of Scanlan Shorthalt? Well, gird your loins, ladies, because he has his eye on you. A talented musician, master of disguise, and dashingly handsome in his own mind, Scanlan sings songs almost as much as he sings his own praises. Born a poor gnome, Scanlan used his endless charm and soaring tenor voice to croon for coin and support his single mother. One day, he was discovered by a half-orc promoter, and joined Dr. Dranzel's Spectacular Traveling Troupe where he learned the ways of the world, and honed his skills as a bard extraordinaire. A loner much of his life, Scanlan has never quite come to terms with the violent death of his mother at the hands of a goblin invasion. While his years on the road provided many, shall we say, educational experiences with the opposite sex, deep down Scanlan yearns for the one thing he's never known: the true love of a fellow gnome. Still, Scanlan considers himself a lover first, performer second, and fighter distant third. On the battlefield, he'll support his allies, but rarely draws blood, unless it's to protect fellow gnome, Pike. Count on Scanlan for a hearty laugh, a rollicking song, and a twinkle in his eye that melts hearts and makes the females swoon."
ORION,00:07:37,00:09:34,fearful,"{'angry': 0.0013193923514336348, 'disgust': 0.0005885945283807814, 'fearful': 0.9405620694160461, 'happy': 0.025610579177737236, 'neutral': 0.0011266299989074469, 'sad': 0.0012582509079948068, 'surprised': 0.02953447960317135}","Greetings and salutations, I am Tiberius Stormwind. I hail from a town called Ty'rex, located in the heart of Draconia, born from a politically respected family. At the age of 15, I succeeded in passing the Sorcerer's Rite, showing prodigy-like control of my magic. The judges and the Draconian high council were amazed at how powerful my spells were for how long I had been training. At 20 years old, I was the youngest appointed member of the magic guild in Draconian history. For the next few years, I almost went mad from the malaise of being a guild member, as it's rather boring. However, one day I happened upon a chamber, unused for quite some time. In the room were stacks of books and maps of the surrounding cities and areas around the known world. For months, I would frequent the chamber, and learned of artifacts from legend. After a long period of research, I made a list of artifacts that caught my eye. I brought these findings to the high council and was told that all of the information in the chamber I had stumbled upon was either believed to be fiction, or unsolvable mysteries, and hence were lost forever. I found those answers to be unacceptable. A year later, I devised a ruse and managed to convince the city council to lend support in me leaving Draconia on a mission of peace and diplomacy for the surrounding kingdoms. Going from town to town and making friends and allies in and for the name of Draconia. Being a red dragonborn, I had quite the task on my hands in that respect, but it was exactly what I needed so I could explore the world and find these artifacts, as I felt the truth was out there. Some may describe me as buffoonish, but I say poppycock to all that. I am much sharper than most give me credit for. I just don't pay attention to things sometimes. I've also been known to be rather cunning, loyal, happy-go-lucky, and well, dangerous. I can't help but show my true scales every now and then. But overall, I think I'm quite friendly for a dragonborn."
LIAM,00:09:34,00:11:03,happy,"{'angry': 0.0029675865080207586, 'disgust': 0.00037217227509245276, 'fearful': 0.005239695776253939, 'happy': 0.988955557346344, 'neutral': 0.0007326717022806406, 'sad': 0.0008587590418756008, 'surprised': 0.0008735861629247665}","Never entirely welcome in the company of elves or men, Vax'ildan learned at a young age to skip past formality, preferring instead to invite himself in your door. Along with twin sister Vex'ahlia, Vax was born by a chance encounter between elven royalty and human peasantry. Raised by their mother in their early years, the twins were eventually sent off to their father in the elven capital of Syngorn. But their cool reception among the elves there never warmed, and their time in the capital didn't last. The siblings stole away one autumn night and set out on the open road. After a few years of wandering, they eventually decided to return to their mother, and journeyed back to the lands of their youth. But instead of finding their childhood home, they returned to a pile of rubble. Their mother was gone, their home burned to ash. Pressing the townspeople for answers, they learned of the day the dragon came. With their ties all severed, Vax'ildan and his sister set out to find their fortune together in Tal'Dorei. An outsider since birth, Vax quickly learned to solve life's challenges in his own particular way, often by sidestepping them entirely. And when his knack for circumventing adversity isn't enough, the way of blades the elves schooled him in more than makes up the difference."
LAURA,00:11:03,00:12:30,happy,"{'angry': 0.00046786031452938914, 'disgust': 0.0002170769002987072, 'fearful': 0.003737348597496748, 'happy': 0.9933957457542419, 'neutral': 0.00044648462790064514, 'sad': 0.0005363806849345565, 'surprised': 0.0011992286890745163}","Like so many half-elves, Vex'ahlia has spent most of her life suffering the cool reception of a people who don't fully accept her. Born of a human mother, and an elven father who only later in life took an interest in their existence, Vex'ahlia and her twin brother, Vax'ildan, quickly realized the only people they could truly rely on in this world were each other. It was at the age of ten when the two were taken from their mother, and brought to live in Syngorn, the isolated elven city for which their father was an ambassador. He quietly took them in, but always kept an icy distance, and after too many years of disdainful looks, the pair decided to leave his indifference behind, and set out on their own. Vax took to the cities, stealing small trinkets and learning the ways of the thief, while Vex kept to the woods. She preferred the isolation. Always the keen observer, she learned to hunt and to track, to spy and to shoot. Through a series of fateful events, earned herself a companion in the form of a bear-- her own stolen Trinket-- to fight alongside her and protect her fiercely. Also, he is adorable, and gives expert massages. Like so many half-elves--"
MATT,00:12:30,00:12:58,happy,"{'angry': 0.0005179300787858665, 'disgust': 0.00014786409155931324, 'fearful': 0.00039606273639947176, 'happy': 0.9982045888900757, 'neutral': 0.00026213598903268576, 'sad': 0.00019774668908212334, 'surprised': 0.00027370097814127803}","Hey guys, welcome back. To give you a little heads up, we are playing the 5th edition of Dungeons & Dragons. We recently converted over from Pathfinder, for those who play Pathfinder. One of our players was a gunslinger, for which there are no rules for in 5th edition. So I had to create and customize those for the game, so bear with us on that. That will be an interesting ride, regardless. We do have an eight-player game we've been playing for two years, which is a little crazy, which is why we go a little loose with the rules. It's a great group, it's a lot of fun. Not everyone can make every game, so we have enough players to definitely pull a party each time."
ZAC,00:12:58,00:13:04,happy,"{'angry': 0.005854770541191101, 'disgust': 0.0007256314856931567, 'fearful': 0.31450432538986206, 'happy': 0.6756773591041565, 'neutral': 0.0010660215048119426, 'sad': 0.00029736352735199034, 'surprised': 0.0018745085690170527}","Just so you know, we're having an audio bottleneck. It'll take about 30 seconds to work itself out."
MATT,00:13:04,00:13:05,angry,"{'angry': 0.9985045194625854, 'disgust': 0.00010660423140507191, 'fearful': 0.00012010149657726288, 'happy': 0.000291954493150115, 'neutral': 0.0005808280548080802, 'sad': 0.0002459505049046129, 'surprised': 0.00014993657532613724}","Okay, audio bottleneck."
